"Female_Ana-de-TrinidadSonetos" "Female_LeonordelaCuevaSonetos" "Female_Maria-de-SantaIsabelSonetos" "Female_MariadeZayas_Sonetos" "Female_SorJuanaInesdelaCruzSonetos" "Female_Violante-do-CeuSonetos" "Male_GongoraSonetos" "Male_JuandeArguijoSonetos" "Male_JuandeJaureguiSonetos" "Male_LopedeVegaSonetos" "Male_PedroSotodeRojasSonetos" "Male_QuevedoSonetos"
"tus" 0.114876507754164 0.306122448979592 0.296076980014804 0.433996383363472 0.305064063453325 0.181889047680915 0.212437234453457 0.127551020408163 0.193143408981169 0.16649211847794 0.286856745479833 0.356146749624544
"porque" 0.114876507754164 0.0510204081632653 0.370096225018505 0.433996383363472 0.457596095179988 0.37677017019618 0.173812282734647 0.079719387755102 0.241429261226461 0.24973817771691 0.191237830319889 0.156618751340914
"una" 0.172314761631246 0.153061224489796 0.370096225018505 0.180831826401447 0.12202562538133 0.389762245030531 0.308999613750483 0.079719387755102 0.193143408981169 0.233626037219045 0.156467315716273 0.188800686547951
"ha" 0.172314761631246 0.459183673469388 0.444115470022206 0.289330922242315 0.305064063453325 0.389762245030531 0.26071842410197 0.079719387755102 0 0.225569966970112 0.0521557719054242 0.197382535936494
"oh" 0.574382538770821 0.102040816326531 0.074019245003701 0.216998191681736 0.167785234899329 0.701572041054957 0.415218230977211 0.350765306122449 0.193143408981169 0.112784983485056 0.312934631432545 0.208109847672173
"cielo" 0.172314761631246 0.255102040816327 0.222057735011103 0.0723327305605787 0.0762660158633313 0.298817721190074 0.115874855156431 0.239158163265306 0.434572670207629 0.264507639839953 0.104311543810848 0.175927912465136
"o" 0.344629523262493 0.0510204081632653 0.148038490007402 0.108499095840868 0.335570469798658 0.0259841496687021 0.308999613750483 0.0478316326530612 0.289715113471753 0.237654072343511 0.234700973574409 0.15876421368805
"ojos" 0.229753015508329 0.357142857142857 0.148038490007402 0.831826401446655 0.12202562538133 0.0649603741717552 0.202780996523754 0.143494897959184 0.0965717044905843 0.197373721098848 0.304242002781641 0.188800686547951
"os" 0 0.255102040816327 0.370096225018505 0.253164556962025 0.0305064063453325 0.480706768870989 0.183468520664349 0.0478316326530612 0.0482858522452921 0.220199253470824 0.234700973574409 0.15876421368805
"dios" 0.344629523262493 0.153061224489796 0.444115470022206 0.108499095840868 0.0762660158633313 0.909445238404573 0.0675936655079181 0 0.144857556735876 0.183946937350627 0.00869262865090403 0.201673460630766
"muerte" 0.229753015508329 0.153061224489796 0.148038490007402 0.108499095840868 0.228798047589994 0.24684942185267 0.0869061413673233 0.223214285714286 0.289715113471753 0.17320551035205 0.278164116828929 0.212400772366445
"solo" 0.0574382538770821 0.0510204081632653 0.222057735011103 0.433996383363472 0.36607687614399 0.350786020527478 0.115874855156431 0.111607142857143 0.0965717044905843 0.151722656354897 0.139082058414465 0.208109847672173
"mal" 0.172314761631246 0.153061224489796 0.074019245003701 0.216998191681736 0.183038438071995 0.181889047680915 0.212437234453457 0.318877551020408 0.0482858522452921 0.167834796852762 0.226008344923505 0.139455052563828
"fue" 0.0574382538770821 0.204081632653061 0.074019245003701 0.253164556962025 0.0915192190359976 0.181889047680915 0.202780996523754 0.127551020408163 0.241429261226461 0.13426783748221 0.0608484005563282 0.238146320532075
"son" 0.0574382538770821 0.0510204081632653 0 0.180831826401447 0.106772422208664 0.0519682993374042 0.193124758594052 0.0956632653061224 0.0482858522452921 0.153065334729719 0.139082058414465 0.233855395837803
"fuego" 0.229753015508329 0.153061224489796 0.222057735011103 0.108499095840868 0.0915192190359976 0.0649603741717552 0.0579374275782155 0.239158163265306 0.241429261226461 0.185289615725449 0.234700973574409 0.143745977258099
"aunque" 0.344629523262493 0.510204081632653 0.222057735011103 0.289330922242315 0.335570469798658 0.12992074834351 0.135187331015836 0.111607142857143 0.0482858522452921 0.182604258975805 0.234700973574409 0.0772366444968891
"mar" 0.516944284893739 0.204081632653061 0 0.0361663652802893 0.0457596095179988 0.0519682993374042 0.106218617226728 0.286989795918367 0.144857556735876 0.197373721098848 0.191237830319889 0.111564042051062
"entre" 0.287191269385411 0.153061224489796 0.074019245003701 0.0723327305605787 0.183038438071995 0.142912823177861 0.251062186172267 0.0956632653061224 0.289715113471753 0.157093369854185 0.286856745479833 0.105127655009655
"tanto" 0.0574382538770821 0.153061224489796 0.148038490007402 0.0723327305605787 0.152532031726663 0.428738469533585 0.164156044804944 0.079719387755102 0.241429261226461 0.153065334729719 0.191237830319889 0.122291353786741
"luz" 0.172314761631246 0.102040816326531 0.074019245003701 0.180831826401447 0.152532031726663 0.12992074834351 0.164156044804944 0.127551020408163 0.193143408981169 0.114127661859878 0.478094575799722 0.128727740828148
"este" 0.172314761631246 0.255102040816327 0.296076980014804 0.180831826401447 0.152532031726663 0.285825646355723 0.26071842410197 0.0637755102040816 0.0482858522452921 0.127554445608099 0.165159944367177 0.122291353786741
"donde" 0.229753015508329 0.255102040816327 0.074019245003701 0.108499095840868 0.0762660158633313 0.0259841496687021 0.0772499034376207 0.111607142857143 0.193143408981169 0.189317650849915 0.0869262865090403 0.10727311735679
"vos" 0 0 0.148038490007402 0.0361663652802893 0.061012812690665 0.844484864232818 0.0869061413673233 0 0 0.132925159107387 0.139082058414465 0.0879639562325681
"todo" 0.516944284893739 0.306122448979592 0.296076980014804 0.108499095840868 0.198291641244661 0.324801870858776 0.0965623792970259 0.0318877551020408 0.0965717044905843 0.102043556486479 0.0956189151599444 0.160909676035186
